"trans","ko"
"TRINITY_DN6149_c0_g2_i1","ko:K02726"
"TRINITY_DN6149_c0_g3_i1","ko:K02726"
"TRINITY_DN6149_c0_g1_i1","ko:K02726"
"TRINITY_DN5821_c0_g1_i1","ko:K03941"
"TRINITY_DN8722_c0_g1_i2","ko:K10580"
"TRINITY_DN8722_c0_g1_i1","ko:K10580"
"TRINITY_DN9555_c0_g1_i1","ko:K14753"
"TRINITY_DN8588_c0_g1_i1","ko:K04392"
"TRINITY_DN8588_c0_g1_i2","ko:K04392"
"TRINITY_DN13161_c0_g1_i1","ko:K12622"
"TRINITY_DN9126_c0_g1_i3","ko:K06630"
"TRINITY_DN9126_c0_g1_i2","ko:K06630"
"TRINITY_DN8657_c0_g1_i1","ko:K06630"
"TRINITY_DN7881_c0_g1_i1","ko:K06630"
"TRINITY_DN9126_c0_g2_i2","ko:K06630"
"TRINITY_DN9126_c0_g2_i1","ko:K06630"
"TRINITY_DN9456_c0_g1_i1","ko:K07897"
"TRINITY_DN6832_c0_g1_i1","ko:K02964"
"TRINITY_DN1477_c0_g1_i1","ko:K02977"
"TRINITY_DN9582_c3_g1_i1","ko:K07976"
"TRINITY_DN6361_c0_g1_i1","ko:K12668"
"TRINITY_DN13637_c0_g1_i1","ko:K02940"
"TRINITY_DN8631_c0_g1_i2","ko:K07151"
"TRINITY_DN8631_c0_g1_i1","ko:K07151"
"TRINITY_DN1673_c0_g1_i1","ko:K10688"
"TRINITY_DN9479_c1_g1_i1","ko:K11188"
"TRINITY_DN9529_c2_g1_i1","ko:K10355"
"TRINITY_DN9456_c0_g1_i1","ko:K07976"
"TRINITY_DN8878_c0_g2_i1","ko:K15498"
"TRINITY_DN9604_c0_g2_i1","ko:K06943"
"TRINITY_DN9449_c0_g1_i1","ko:K00026"
"TRINITY_DN1685_c0_g2_i1","ko:K02729"
"TRINITY_DN1685_c0_g1_i1","ko:K02729"
"TRINITY_DN9451_c0_g1_i1","ko:K00031"
"TRINITY_DN9026_c1_g1_i10","ko:K08770"
"TRINITY_DN9026_c1_g1_i4","ko:K08770"
"TRINITY_DN4426_c0_g2_i1","ko:K08770"
"TRINITY_DN9026_c1_g1_i5","ko:K08770"
"TRINITY_DN8800_c0_g1_i1","ko:K02981"
"TRINITY_DN7278_c0_g1_i1","ko:K00432"
"TRINITY_DN6779_c0_g1_i1","ko:K06689"
"TRINITY_DN2767_c0_g1_i1","ko:K06689"
"TRINITY_DN25726_c0_g1_i1","ko:K06689"
"TRINITY_DN27339_c0_g1_i1","ko:K12626"
"TRINITY_DN24427_c0_g1_i1","ko:K02730"
"TRINITY_DN8933_c0_g1_i2","ko:K07977"
"TRINITY_DN9122_c0_g1_i1","ko:K07977"
"TRINITY_DN8933_c0_g1_i1","ko:K07977"
"TRINITY_DN9280_c1_g2_i1","ko:K01802"
"TRINITY_DN9420_c0_g1_i1","ko:K01802"
"TRINITY_DN9232_c0_g1_i1","ko:K02987"
"TRINITY_DN5846_c0_g1_i1","ko:K12394"
"TRINITY_DN8688_c0_g1_i1","ko:K02983"
"TRINITY_DN9303_c0_g1_i2","ko:K17081"
"TRINITY_DN7109_c0_g1_i1","ko:K07893"
"TRINITY_DN6376_c0_g1_i1","ko:K11099"
"TRINITY_DN8933_c0_g1_i2","ko:K07942"
"TRINITY_DN6772_c0_g1_i1","ko:K07942"
"TRINITY_DN8933_c0_g1_i1","ko:K07942"
"TRINITY_DN9122_c0_g1_i1","ko:K07942"
"TRINITY_DN6772_c0_g2_i1","ko:K07942"
"TRINITY_DN4227_c0_g1_i1","ko:K02219"
"TRINITY_DN8436_c0_g1_i1","ko:K00924"
"TRINITY_DN8797_c0_g1_i1","ko:K02985"
"TRINITY_DN8324_c0_g1_i1","ko:K02901"
"TRINITY_DN9026_c1_g1_i2","ko:K02927"
"TRINITY_DN16660_c0_g1_i1","ko:K02927"
"TRINITY_DN9026_c1_g1_i5","ko:K02927"
"TRINITY_DN9026_c1_g1_i11","ko:K02927"
"TRINITY_DN9026_c1_g1_i10","ko:K02927"
"TRINITY_DN4426_c0_g1_i1","ko:K02927"
"TRINITY_DN9026_c1_g1_i4","ko:K02927"
"TRINITY_DN1477_c0_g1_i1","ko:K02927"
"TRINITY_DN4426_c0_g2_i1","ko:K02927"
"TRINITY_DN8452_c0_g1_i1","ko:K02927"
"TRINITY_DN24963_c0_g1_i1","ko:K22063"
"TRINITY_DN9294_c0_g1_i1","ko:K02870"
"TRINITY_DN7122_c0_g1_i1","ko:K02989"
"TRINITY_DN5899_c0_g2_i1","ko:K02918"
"TRINITY_DN5899_c0_g1_i1","ko:K02918"
"TRINITY_DN19835_c0_g1_i1","ko:K02893"
"TRINITY_DN3104_c0_g1_i1","ko:K01070"
"TRINITY_DN9519_c0_g1_i1","ko:K17255"
"TRINITY_DN7646_c0_g1_i1","ko:K02896"
"TRINITY_DN7754_c0_g1_i1","ko:K02978"
"TRINITY_DN6507_c0_g1_i1","ko:K17497"
"TRINITY_DN12043_c0_g1_i1","ko:K03358"
"TRINITY_DN8773_c0_g1_i1","ko:K02905"
"TRINITY_DN7892_c0_g2_i1","ko:K02872"
"TRINITY_DN9258_c0_g1_i1","ko:K02930"
"TRINITY_DN8016_c0_g1_i1","ko:K00856"
"TRINITY_DN8648_c0_g1_i1","ko:K07901"
"TRINITY_DN9251_c0_g1_i1","ko:K04567"
"TRINITY_DN7710_c0_g1_i1","ko:K09499"
"TRINITY_DN5935_c0_g1_i1","ko:K03017"
"TRINITY_DN9401_c0_g1_i1","ko:K13448"
"TRINITY_DN7801_c0_g1_i1","ko:K12832"
"TRINITY_DN9323_c0_g1_i1","ko:K10949"
"TRINITY_DN9378_c1_g3_i2","ko:K17260"
"TRINITY_DN9378_c1_g3_i3","ko:K17260"
"TRINITY_DN9378_c1_g3_i1","ko:K17260"
"TRINITY_DN8809_c0_g1_i1","ko:K17080"
"TRINITY_DN8809_c0_g1_i2","ko:K17080"
"TRINITY_DN6875_c0_g1_i1","ko:K02739"
"TRINITY_DN14468_c0_g1_i1","ko:K03868"
"TRINITY_DN1535_c0_g1_i1","ko:K02969"
"TRINITY_DN3379_c0_g1_i1","ko:K10575"
"TRINITY_DN6080_c0_g1_i1","ko:K10575"
"TRINITY_DN3379_c0_g2_i1","ko:K10575"
"TRINITY_DN9218_c0_g1_i1","ko:K18467"
"TRINITY_DN9218_c0_g1_i2","ko:K18467"
"TRINITY_DN8828_c0_g1_i1","ko:K07342"
"TRINITY_DN7244_c0_g1_i1","ko:K02873"
"TRINITY_DN6569_c1_g1_i1","ko:K14963"
"TRINITY_DN2113_c0_g1_i1","ko:K12399"
"TRINITY_DN2344_c0_g1_i1","ko:K02731"
"TRINITY_DN8364_c0_g1_i1","ko:K07901"
"TRINITY_DN8364_c0_g1_i2","ko:K07901"
"TRINITY_DN4897_c0_g1_i1","ko:K10577"
"TRINITY_DN9026_c1_g1_i2","ko:K08770"
"TRINITY_DN8367_c0_g1_i1","ko:K05755"
"TRINITY_DN9132_c0_g1_i1","ko:K13448"
"TRINITY_DN5495_c0_g1_i1","ko:K07976"
"TRINITY_DN5495_c0_g1_i2","ko:K07976"
"TRINITY_DN8151_c0_g1_i1","ko:K07976"
"TRINITY_DN8151_c0_g1_i1","ko:K07877"
"TRINITY_DN5495_c0_g1_i1","ko:K07877"
"TRINITY_DN5495_c0_g1_i2","ko:K07877"
"TRINITY_DN8746_c0_g2_i1","ko:K07874"
"TRINITY_DN8436_c0_g1_i1","ko:K14502"
"TRINITY_DN4358_c0_g1_i1","ko:K06685"
"TRINITY_DN4358_c0_g2_i1","ko:K06685"
"TRINITY_DN9169_c0_g1_i1","ko:K01623"
"TRINITY_DN9021_c0_g1_i1","ko:K18466"
"TRINITY_DN2566_c0_g1_i1","ko:K11098"
"TRINITY_DN9135_c0_g1_i1","ko:K03661"
"TRINITY_DN9376_c0_g1_i1","ko:K04392"
"TRINITY_DN8901_c0_g1_i1","ko:K01889"
"TRINITY_DN7109_c0_g1_i1","ko:K07976"
"TRINITY_DN8568_c0_g1_i1","ko:K02920"
"TRINITY_DN9927_c0_g1_i1","ko:K03038"
"TRINITY_DN20264_c0_g1_i1","ko:K12859"
"TRINITY_DN9599_c0_g1_i1","ko:K02133"
"TRINITY_DN7410_c0_g1_i1","ko:K03940"
"TRINITY_DN5679_c0_g2_i1","ko:K12833"
"TRINITY_DN5679_c0_g1_i1","ko:K12833"
"TRINITY_DN5679_c0_g3_i1","ko:K12833"
"TRINITY_DN5028_c0_g1_i1","ko:K02997"
"TRINITY_DN14852_c0_g1_i1","ko:K03030"
"TRINITY_DN26175_c0_g1_i1","ko:K12623"
"TRINITY_DN9303_c0_g1_i2","ko:K17080"
"TRINITY_DN7361_c0_g1_i1","ko:K03521"
"TRINITY_DN5514_c1_g1_i1","ko:K12624"
"TRINITY_DN6349_c0_g1_i1","ko:K12160"
"TRINITY_DN4141_c0_g1_i1","ko:K01802"
"TRINITY_DN6796_c1_g1_i1","ko:K01431"
"TRINITY_DN7742_c0_g1_i1","ko:K02705"
"TRINITY_DN3884_c0_g1_i1","ko:K02112"
"TRINITY_DN3884_c0_g2_i1","ko:K02112"
"TRINITY_DN9329_c0_g1_i1","ko:K04488"
"TRINITY_DN9661_c1_g1_i8","ko:K00819"
"TRINITY_DN9661_c1_g1_i9","ko:K00819"
"TRINITY_DN9661_c1_g1_i4","ko:K00819"
"TRINITY_DN9661_c1_g1_i1","ko:K00819"
"TRINITY_DN9661_c1_g1_i5","ko:K00819"
"TRINITY_DN9661_c1_g1_i2","ko:K00819"
"TRINITY_DN9661_c1_g1_i7","ko:K00819"
"TRINITY_DN4906_c0_g1_i1","ko:K10583"
"TRINITY_DN4906_c0_g2_i1","ko:K10583"
"TRINITY_DN9424_c0_g1_i1","ko:K01206"
"TRINITY_DN8882_c0_g1_i1","ko:K01206"
"TRINITY_DN7087_c0_g1_i1","ko:K03522"
"TRINITY_DN9660_c0_g5_i3","ko:K07374"
"TRINITY_DN9617_c0_g2_i6","ko:K07374"
"TRINITY_DN9660_c0_g5_i2","ko:K07374"
"TRINITY_DN8812_c0_g1_i1","ko:K08057"
"TRINITY_DN8242_c0_g1_i1","ko:K03232"
"TRINITY_DN9626_c0_g1_i2","ko:K03781"
"TRINITY_DN5332_c0_g1_i1","ko:K00616"
"TRINITY_DN4804_c0_g1_i1","ko:K16575"
"TRINITY_DN8746_c0_g1_i1","ko:K07901"
"TRINITY_DN9507_c0_g2_i2","ko:K18041"
"TRINITY_DN9507_c0_g2_i1","ko:K18041"
"TRINITY_DN9175_c0_g1_i1","ko:K01681"
"TRINITY_DN5222_c0_g1_i1","ko:K14394"
"TRINITY_DN9335_c0_g1_i1","ko:K18617"
"TRINITY_DN9259_c0_g1_i1","ko:K04456"
"TRINITY_DN9259_c0_g1_i2","ko:K04456"
"TRINITY_DN8874_c0_g1_i1","ko:K01363"
"TRINITY_DN9355_c0_g1_i5","ko:K01365"
"TRINITY_DN9355_c0_g1_i2","ko:K01365"
"TRINITY_DN9355_c0_g1_i1","ko:K01365"
"TRINITY_DN9355_c0_g1_i4","ko:K01365"
"TRINITY_DN9658_c1_g1_i1","ko:K01365"
"TRINITY_DN9136_c0_g1_i1","ko:K00207"
"TRINITY_DN8126_c0_g1_i1","ko:K00522"
"TRINITY_DN9506_c0_g1_i1","ko:K04536"
"TRINITY_DN18920_c0_g1_i1","ko:K00942"
"TRINITY_DN9026_c1_g1_i10","ko:K04551"
"TRINITY_DN4426_c0_g2_i1","ko:K04551"
"TRINITY_DN9026_c1_g1_i4","ko:K04551"
"TRINITY_DN8495_c0_g1_i1","ko:K09580"
"TRINITY_DN9420_c0_g1_i1","ko:K03768"
"TRINITY_DN9378_c1_g1_i2","ko:K01074"
"TRINITY_DN9378_c1_g1_i1","ko:K01074"
"TRINITY_DN8514_c0_g1_i2","ko:K15103"
"TRINITY_DN8514_c0_g1_i1","ko:K15103"
"TRINITY_DN9468_c0_g1_i1","ko:K08007"
"TRINITY_DN9102_c0_g1_i1","ko:K01866"
"TRINITY_DN9316_c0_g1_i1","ko:K07249"
"TRINITY_DN6487_c0_g1_i1","ko:K17093"
"TRINITY_DN8864_c0_g1_i1","ko:K20472"
"TRINITY_DN24859_c0_g1_i1","ko:K04635"
"TRINITY_DN9277_c1_g1_i1","ko:K04635"
"TRINITY_DN9277_c1_g1_i1","ko:K04636"
"TRINITY_DN24859_c0_g1_i1","ko:K04636"
"TRINITY_DN9277_c1_g1_i1","ko:K04534"
"TRINITY_DN9277_c1_g1_i1","ko:K04631"
"TRINITY_DN1556_c0_g1_i1","ko:K07509"
"TRINITY_DN15512_c0_g1_i1","ko:K04078"
"TRINITY_DN9103_c0_g1_i1","ko:K08548"
"TRINITY_DN9103_c0_g1_i2","ko:K08548"
"TRINITY_DN9039_c0_g1_i1","ko:K20011"
"TRINITY_DN9039_c0_g1_i1","ko:K03386"
"TRINITY_DN5081_c0_g1_i1","ko:K02740"
"TRINITY_DN5361_c1_g1_i1","ko:K13280"
"TRINITY_DN8407_c0_g2_i1","ko:K15040"
"TRINITY_DN7824_c0_g1_i1","ko:K02146"
"TRINITY_DN7322_c0_g1_i1","ko:K03943"
"TRINITY_DN7342_c0_g1_i1","ko:K04345"
"TRINITY_DN8509_c0_g1_i1","ko:K10420"
"TRINITY_DN6763_c0_g1_i1","ko:K13785"
"TRINITY_DN8771_c0_g1_i1","ko:K13785"
"TRINITY_DN8907_c0_g2_i1","ko:K00414"
"TRINITY_DN9360_c0_g1_i1","ko:K15102"
"TRINITY_DN7747_c0_g1_i1","ko:K08957"
"TRINITY_DN9383_c0_g1_i2","ko:K08957"
"TRINITY_DN9383_c0_g1_i1","ko:K08957"
"TRINITY_DN8407_c0_g2_i1","ko:K15041"
"TRINITY_DN5492_c0_g1_i1","ko:K04348"
"TRINITY_DN8222_c0_g1_i1","ko:K02941"
"TRINITY_DN6408_c0_g1_i1","ko:K03942"
"TRINITY_DN8787_c0_g1_i1","ko:K02150"
"TRINITY_DN9436_c0_g1_i1","ko:K00411"
